CS_KP_AL	COSIMA_KEEP_ALIVE	3469	0	0	ZCSX2602	ZCS72605	0	1	1	1017	72	ZCS72609	1	1	228	A	1	0	CRC	0	8192
CS_EEP	COSIMA_EEPROM	3471	0	0	ZCS73602	ZCS73605	0	1	2	1017	73	ZCS73609	1	1	114	A	1	0	CRC	0	8192
CS_SQ_UD	COSIMA_SEQ_UDT	3473	0	0	ZCS74602	ZCS74605	0	1	2	1017	74	ZCS74609	1	1	114	A	1	0	CRC	0	32768
CS_PROG	COSIMA_PROGR	3475	0	0	ZCSX5602	ZCS75605	0	1	6	1017	75	ZCS75609	1	1	38	A	1	0	CRC	0	32768
CS_SCOPE	COSISCOPES__	3477	0	0	ZCSX6602	ZCS76605	0	1	6	1017	76	ZCS76609	1	1	38	A	1	0	CRC	0	32768
GD_ROM	GIADA_ROM_ME	3563	0	0	NOOP____	ZGD00004	0	1	2	1449	80	ZGD00005	1	1	0	A	1	0	CRC	0	65536
GD_RAM	GIADA_RAM_ME	3564	0	0	ZGD00602	ZGD00004	0	1	2	1449	81	ZGD00005	1	1	114	A	1	0	CRC	0	65536
GD_NVRAM	GIADA_NV_RAM	3565	0	0	ZGD00603	ZGD00004	0	1	2	1449	82	ZGD00005	1	1	114	A	1	0	CRC	0	65536
MD_ALL	MIDAS_ALL_MEMORY	2068	0	0	ZMD00602	ZMD00605	0	1	2	1081	90	ZMD00609	1	1	114	A	1	0	CRC	0	1572864
MR_ALL	MIRO_ALL_MEMORY	2087	0	0	ZMR00601	ZMR00602	0	1	4	1145	100	ZMR00603	1	1	30	A	1	0	CRC	0	2097152
SR_PROG	OSIRIS_PROGR	4521	0	0	ZSRX1041	ZSRD1045	0	1	6	1209	110	ZSRD1049	1	1	38	A	1	0	CRC	0	262144
SR_DATA	OSIRIS_DATA_	4523	0	0	ZSRD1042	ZSRD1046	0	1	4	1209	111	ZSRD1050	1	1	57	A	1	0	CRC	0	131072
SR_NVRM	OSIRIS_NVRME	4525	0	0	ZSRD1043	ZSRD1047	0	1	4	1209	112	ZSRD1051	1	1	57	A	1	0	CRC	0	393216
SR_NVRM8	OSIRIS_NVRM8	4527	0	0	ZSRD1044	ZSRD1048	0	1	4	1209	113	ZSRD1052	1	1	57	A	1	0	CRC	0	32768
SR_UDP	OSIRIS_UDP_AREA	0	0	0	ZSRX1023	NOOP____	0	1	4	1209	114	NOOP____	1	1	57	A	1	0	CRC	0	65536
RN_PROG	ROSINA_PROGR	3601	0	0	ZRNPX012	ZRNP1009	0	1	6	1289	120	ZRNP100A	1	1	38	A	1	0	CRC	0	393216
RN_SENSO	ROSINA_SENSOR	3602	0	0	ZRNPX013	ZRNP1009	0	1	6	1289	121	ZRNP100A	1	1	38	A	1	0	CRC	393216	131072
RM_EE_1	ROSINA_EEPROM_1	3603	0	0	ZRNPX014	ZRNP1009	0	1	6	1289	122	ZRNP100A	1	1	38	A	1	0	CRC	12582912	131072
RN_EE_2	ROSINA_EEPROM_2	3604	0	0	ZRNPX015	ZRNP1009	0	1	6	1289	123	ZRNP100A	1	1	38	A	1	0	CRC	12713984	131072
RN_DAT_1	ROSINA_DATA_1	3605	0	0	ZRNP1016	ZRNP1009	0	1	4	1289	124	ZRNP100A	1	1	57	A	1	0	CRC	0	917504
RN_DAT_2	ROSINA_DATA_2	3606	0	0	ZRNP1017	ZRNP1009	0	1	4	1289	125	ZRNP100A	1	1	57	A	1	0	CRC	262144	4980736
RN_TAB_M	ROSINA_TABLE_MEM	3607	0	0	ZRNP1018	ZRNP1009	0	1	4	1289	126	ZRNP100A	1	1	57	A	1	0	CRC	917504	131072
RN_START	ROSINA_START_ADD	3608	0	0	ZRNP1019	ZRNP1009	0	1	4	1289	127	ZRNP100A	1	1	57	A	1	0	CRC	0	524288
RN_EE_ST	ROSINA_EEP_STAT	2123	0	0	ZRNP1008	ZRNP1009	0	1	2	1289	128	ZRNP100A	1	1	114	A	1	0	CRC	1048576	131072
RP_PIU_R	RPC_PIU_RAM_	2140	0	0	ZRP00602	ZRP00605	0	1	2	1337	130	ZRP00609	1	1	114	A	1	0	CRC	0	65536
RP_PI_EE	RPC_PIU_EEPROM	5419	0	0	ZRP00602	ZRP00605	0	1	2	1337	131	ZRP00609	1	1	114	A	1	0	CRC	0	65536
RP_IE_RA	RPC_IES_RAM_	2245	0	0	ZRP10602	ZRP10605	0	1	2	1353	132	ZRP10609	1	1	114	A	1	0	CRC	0	65536
RP_IE_EE	RPC_IES_EEPROM	5421	0	0	ZRP10602	ZRP10605	0	1	2	1353	133	ZRP10609	1	1	114	A	1	0	CRC	786432	917504
RP_IC_SR	RPC_ICA_SRAM	2249	0	0	ZRP20602	ZRP20605	0	1	2	1369	134	ZRP20609	1	1	114	A	1	0	CRC	0	65536
RP_IC_EE	RPC_ICA_EEPROM	5423	0	0	ZRP20602	ZRP20605	0	1	2	1369	135	ZRP20609	1	1	114	A	1	0	CRC	0	262144
RP_IC_PR	RPC_ICA_PROM	5425	0	0	NOOP____	ZRP20606	0	1	2	1369	136	ZRP20609	1	1	114	A	1	0	CRC	0	262144
RP_LA_EE	RPC_LAP_EEPROM	5418	0	0	ZRP30602	ZRP30605	0	1	2	1385	137	NOOP____	1	1	114	A	1	0	CRC	32768	61440
RP_LA_DM	RPC_LAP_DMP	2253	0	0	ZRP30602	ZRP30605	0	1	2	1385	138	NOOP____	1	1	114	A	1	0	CRC	96	65632
VR_EEP	VIRTIS_EEPROM	4282	0	0	ZVRX4002	ZVR14005	0	1	1	825	140	ZVR14009	1	1	228	A	1	0	CRC	536870912	1048576
