NACP9090	2	H	-7.49	7.5		1
NACP9091	2	H	-7.49	7.5		1
NACP9092	2	H	-7.49	7.5		1
NACP9093	2	H	-19.36	19.37		1
NACP9094	2	H	-27.47	27.48		1
NACP9095	2	H	-12.51	12.51		1
NACP9096	2	H	-27.47	27.48		1
NACP9097	2	H	-2.5	2.5		1
NACP9303	2	H	0	1023		1
NACP9304	2	H	0	1023		1
NACP9565	2	H	1	3071		1
NACP9587	2	H	-273.15	226.55		1
NACP9588	2	H	-273.15	226.55		1
NACP9589	2	H	0	303		1
NACP9590	2	H	-7.49	7.5		1
NACP9591	2	H	-7.49	7.5		1
NACP9592	2	H	-7.49	7.5		1
NACP9593	2	H	-19.36	19.37		1
NACP9594	2	H	-27.47	27.48		1
NACP9595	2	H	-12.51	12.51		1
NACP9596	2	H	-27.47	27.48		1
NACP9597	2	H	-2.5	2.5		1
NACP9803	2	S	0	1023		1
NACP9804	2	S	0	1023		1
NACPA087	2	H	-273.15	226.55		1
NACPA088	2	H	-273.15	226.55		1
NACPA089	2	H	0	303		1
NACPA090	2	H	-7.49	7.5		1
NACPA091	2	H	-7.49	7.5		1
NACPA092	2	H	-7.49	7.5		1
NACPA093	2	H	-19.36	19.37		1
NACPA094	2	H	-27.47	27.48		1
NACPA095	2	H	-12.51	12.51		1
NACPA096	2	H	-27.47	27.48		1
NACPA097	2	H	-2.5	2.5		1
NACPA303	2	H	0	1023		1
NACPA304	2	H	0	1023		1
NACPA565	2	H	1	3071		1
NACPA587	2	H	-273.15	226.55		1
NACPA588	2	H	-273.15	226.55		1
NACPA589	2	H	0	303		1
NACPA590	2	H	-7.49	7.5		1
NACPA591	2	H	-7.49	7.5		1
NACPA592	2	H	-7.49	7.5		1
NACPA593	2	H	-19.36	19.37		1
NACPA594	2	H	-27.47	27.48		1
NACPA595	2	H	-12.51	12.51		1
NACPA596	2	H	-27.47	27.48		1
NACPA597	2	H	-2.5	2.5		1
NACPA803	2	S	0	1023		1
NACPA804	2	S	0	1023		1
NACPB565	2	H	1	3071		1
NACPC565	2	H	1	3071		1
NACPD565	2	H	1	3071		1
NACPE565	2	H	1	3071		1
NACW0D0D	1	C				
NACW0D0E	2	H	0	0		1
NACW0F01	2	H	0	150	NAWG0001	4
NACW0F03	2	H	0	150	NAWG0001	4
NACW0F05	2	H	0	150	NAWG0001	4
NACW0F07	2	H	0	150	NAWG0001	4
NACW0F09	2	H	0	150	NAWG0001	4
NACW0F0B	2	H	0	150	NAWG0001	4
NACW0F0D	2	H	0	150	NAWG0001	4
NACW0F0F	2	H	0	150	NAWG0001	4
NACW0F0R	2	H	0	150	NAWG0001	4
NACW0F0T	2	H	0	150	NAWG0001	4
NACW0F0V	2	H	0	150	NAWG0001	4
NACW0F0X	2	H	0	150	NAWG0001	4
NACW0F0Z	2	H	0	150	NAWG0001	4
NACW0F11	2	H	0	150	NAWG0001	4
NACW0F13	2	H	0	150	NAWG0001	4
NACW0F15	2	H	0	150	NAWG0001	4
NACW0G05	2	S	-0.035	0.035		1
NACW0G05	3	H	-0.05	0.05		1
NACW0G07	2	S	-0.05	0.05		1
NACW0G07	3	H	-0.15	0.15		1
NACW0G0H	2	S	-0.035	0.035		1
NACW0G0H	3	H	-0.05	0.05		1
NACW0G0J	2	S	-0.05	0.05		1
NACW0G0J	3	H	-0.15	0.15		1
NACW0G0T	2	S	-0.035	0.035		1
NACW0G0T	3	H	-0.05	0.05		1
NACW0G0V	2	S	-0.05	0.05		1
NACW0G0V	3	H	-0.15	0.15		1
NACW0G15	2	S	-0.035	0.035		1
NACW0G15	3	H	-0.05	0.05		1
NACW0G17	2	S	-0.05	0.05		1
NACW0G17	3	H	-0.15	0.15		1
NACW0G1C	2	S	-0.01	0.035		1
NACW0G1C	3	H	-0.02	0.05		1
NACW0G1D	2	S	-0.01	1.035		1
NACW0G1D	3	H	-0.02	0.05		1
NACW0G1E	2	S	-0.01	2.035		1
NACW0G1E	3	H	-0.02	0.05		1
NACW0G1F	2	S	-0.01	3.035		1
NACW0G1F	3	H	-0.02	0.05		1
NACW0H0A	2	H	1	1		1
NACW0H0M	2	H	1	1		1
NACW0K0D	2	S	-0.22	0.22	SY000078	1
NACW0K0D	3	H	-0.28	0.28	SY000078	1
NACW0K0D	4	S	-0.22	0.22	SY000079	1
NACW0K0D	5	H	-0.28	0.28	SY000079	1
NACW0K0E	2	S	-0.22	0.22	SY000078	1
NACW0K0E	3	H	-0.28	0.28	SY000078	1
NACW0K0E	4	S	-0.22	0.22	SY000079	1
NACW0K0E	5	H	-0.28	0.28	SY000079	1
NACW0K0M	2	H	5	5		1
NACW0L02	2	S	0	3		1
NACW0L02	3	H	0	5		1
NACW0P00	10	S	-0.0471	0.0471	SY000081	1
NACW0P00	11	H	-0.0785	0.0785	SY000081	1
NACW0P00	12	S	-0.0234	0.0234	SY000082	1
NACW0P00	13	H	-0.039	0.039	SY000082	1
NACW0P00	14	S	-0.0312	0.0312	SY000083	1
NACW0P00	15	H	-0.052	0.052	SY000083	1
NACW0P00	16	S	-0.063	0.063	SY000084	1
NACW0P00	17	H	-0.105	0.105	SY000084	1
NACW0P00	18	S	-0.005238	0.005238	SY000085	1
NACW0P00	19	H	-0.00873	0.00873	SY000085	1
NACW0P00	2	S	-0.0186	0.0186	SY000080	1
NACW0P00	20	S	-0.0156	0.0156	SY000086	1
NACW0P00	21	H	-0.026	0.026	SY000086	1
NACW0P00	22	S	-0.0054	0.0054	SY000087	1
