981	0	0	Default
981	1	1	Commanded
982	0	0	Nominal
982	1	1	Redundant
983	5	5	Reset SW
983	6	6	Reset HW
983	7	7	Reset WD
984	21	21	Prog RAM
984	22	22	Data RAM
984	23	23	Boot PROM
984	24	24	EEPROM
985	1	1	Latcp EEPROM
985	2	2	1 EDAC Fail
985	3	3	EEPROM ON F
985	4	4	EEPROM OFF F
985	5	5	DED Error
985	9	9	W EEPROM Dis
986	1	1	Latcp EEPROM
986	2	2	1 EDAC Fail
986	3	3	EEPROM ON F
986	4	4	EEPROM OFF F
986	5	5	DED Error
987	0	0	INIT
987	1	1	STAND-BY
987	10	10	Unknown
987	2	2	SELF-TEST
987	3	3	CARTOGR
987	4	4	CMD_STAR_TRK
987	5	5	AA&CAD
987	6	6	AT&FAD
987	7	7	CCD_HEAL_ST
988	0	0	VALID
988	1	1	NO VALID
989	0	0	NO ERROR
989	1	1	CMD ERROR
990	0	0	SYS RESET
990	1	1	ERR RESET
990	10	10	PRAM DB ED
990	11	11	DRAM DB ED
990	2	2	WATDG RESET
990	5	5	TC RESET SW
990	6	6	TC RESET HW
990	7	7	TC RESET WDG
990	8	8	HW ERROR
990	9	9	SW EXCEPT
991	0	0	Passed
991	1	1	Failed
992	0	0	Autonomous
992	1	1	Commanded
993	0	0	DISC/PAR ERR
993	1	1	Rx Buff Full
994	0	0	No Failure
994	1	1	Nb stars FOV
994	2	2	Nb matched
994	3	3	Nb valid st.
994	4	4	QM Not Conv
994	5	5	Ang Rate NOK
994	6	6	No Star FUT
994	7	7	Link Fail
995	0	0	AA Not Compl
995	1	1	AA Complete
995	2	2	AT FAD
996	0	0	OK
996	1	1	NOT OK
997	0	0	Max Star Av
997	1	1	< Max Guide
997	2	2	< Max Stars
998	0	0	Good Quality
998	1	1	Norm NOK
998	2	2	Reduc Qual
999	0	0	ST Not Pres
999	1	1	ST Tracked
999	2	2	Star Lost
1000	0	0	NO SEU
1000	1	1	SEU Filtered
1000	2	2	SEU No Filtd
1001	7	7	CCD Heal St
1002	0	0	FALSE
1002	1	1	TRUE
1003	0	0	Disabled
1003	1	1	Enabled
1004	0	0	False
1004	1	1	True
1005	0	0	Default
1005	1	1	Commanded
1006	0	0	Nominal
1006	1	1	Redundant
1007	5	5	Reset SW
1007	6	6	Reset HW
1007	7	7	Reset WD
1008	21	21	Prog RAM
1008	22	22	Data RAM
1008	23	23	Boot PROM
1008	24	24	EEPROM
1009	1	1	Latcp EEPROM
1009	2	2	1 EDAC Fail
1009	3	3	EEPROM ON F
1009	4	4	EEPROM OFF F
1009	5	5	DED Error
1009	9	9	W EEPROM Dis
1010	1	1	Latcp EEPROM
1010	2	2	1 EDAC Fail
1010	3	3	EEPROM ON F
1010	4	4	EEPROM OFF F
1010	5	5	DED Error
1011	0	0	INIT
1011	1	1	STAND-BY
1011	10	10	Unknown
1011	2	2	SELF-TEST
1011	3	3	TARG_TRACK
1011	4	4	AST_TRACK
1011	5	5	IMAGING
1012	0	0	VALID
1012	1	1	NO VALID
1013	0	0	NO ERROR
1013	1	1	CMD ERROR
1014	0	0	SYS RESET
1014	1	1	ERR RESET
1014	10	10	PRAM DB ED
1014	11	11	DRAM DB ED
1014	2	2	WATDG RESET
1014	5	5	TC RESET SW
1014	6	6	TC RESET HW
1014	7	7	TC RESET WDG
1014	8	8	HW ERROR
1014	9	9	SW EXCEPT
1015	0	0	Passed
1015	1	1	Failed
1016	0	0	Autonomous
1016	1	1	Commanded
1017	0	0	DISC/PAR ERR
1017	1	1	Rx Buff Full
1018	0	0	No Failure
1018	1	1	NES In FOV
1018	2	2	NES Matched
1018	3	3	NES Valid
1018	4	4	QM Not Conv
1018	5	5	Ang Rate NOK
1018	6	6	No Star In F
1018	7	7	Link Fail
1019	0	0	NOT OK
1019	1	1	OK
3207	0	0	FAILED
3207	1	1	NOT_FAILED
3208	0	0	FAILED
3208	1	1	NOT_FAILED
1020	0	0	ST Not Pres
1020	1	1	ST Tracked
1020	2	2	Star Lost
1021	0	1	SEU Filtered
1021	1	2	SEU No Filtd
1022	0	0	NOMINAL
1022	1	1	REDUNDANT
1022	2	2	NONE
1023	0	0	Goto Pos.
1023	1	1	Perf N Steps
1024	0	0	Undefined
1024	1	1	FOC NATT
1024	2	2	FOC ATT
1024	3	3	DEFOC NATT
1025	0	0	CW
1025	1	1	CCW
1026	0	0	LOW
1026	1	1	HIGH
1027	0	0	PAD OK
1028	0	0	IDLE
1028	1	1	IMAGE ACQ
1028	2	2	COVER POS
1029	0	0	STEPM OK
1029	11	11	STEPM OFF
1029	12	12	STEPM DIS
1029	13	13	STEPM EFP
1029	14	14	STEPM ESP
1029	15	15	STEPM OAC
2521	0	0	OK
2521	1	1	NOT OK
1030	0	0	FAILED
1030	1	1	NOT_FAILED
1031	1	1	A
1031	2	2	B
1032	0	0	DISABLED
1032	1	1	ENABLED
1033	0	0	DEFAULT
1033	1	1	COMMANDED
1034	0	0	LOW
1034	1	1	HIGH
1035	0	0	NONE
1035	1	1	A
1035	2	2	B
1036	0	0	NONE
1036	1	1	A
1036	2	2	B
1036	3	3	AB
1037	0	0	NONE
1037	1	1	SAS_X
1037	2	2	SAS_XZ
1040	0	0	COLD
1040	1	1	HOT
1041	0	0	AVAILABLE
1041	1	1	UNAVAILABLE
1042	0	0	VALID
1042	1	1	NOT_VALID
1043	0	0	NONE
1043	1	1	A
1043	2	2	B
1043	3	3	C
1044	0	0	ONE_IMP
1044	1	1	XYZM_XV
1044	10	10	XYM_ZXV
1044	11	11	XZM_XZV
1044	12	12	YZM_XZV
1044	13	13	XYM_ZYV
1044	14	14	XZM_YZV
1044	15	15	YZM_YZV
1044	16	16	XYZM
1044	17	17	XYZV
1044	18	18	XYM_XV
1044	19	19	XYM_YV
1044	2	2	XYZM_YV
1044	20	20	XYM_ZV
1044	21	21	YZM_XV
1044	22	22	YZM_YV
1044	23	23	YZM_ZV
1044	24	24	ZXM_XV
1044	25	25	ZXM_YV
1044	26	26	ZXM_ZV
1044	27	27	XYV_XM
1044	28	28	XYV_YM
1044	29	29	XYV_ZM
1044	3	3	XYZM_ZV
1044	30	30	YZV_XM
1044	31	31	YZV_YM
1044	32	32	YZV_ZM
1044	33	33	ZXV_XM
1044	34	34	ZXV_YM
1044	35	35	ZXV_ZM
1044	4	4	XYZV_XM
1044	5	5	XYZV_YM
1044	6	6	XYZV_ZM
1044	7	7	XYM_XYV
1044	8	8	XZM_YXV
1044	9	9	YZM_XYV
1046	0	0	INIT
1046	1	1	STAND_BY
1046	2	2	SELF_TEST
1046	3	3	CARTOGRAPHY
1046	4	4	CMDSTARTRACK
1046	5	5	AUTONOM_ACQ
1046	6	6	AUTONOMTRACK
1046	7	7	CCDHEALTHST
1047	0	0	XYZ_NU
1047	1	1	Z_U
1047	2	2	Y_U
1047	3	3	YZ_U
1047	4	4	X_U
1047	5	5	XZ_U
1047	6	6	XY_U
1047	7	7	XYZ_U
1048	0	0	RCS
1048	1	1	RWA
1049	0	0	SET1
1049	1	1	SET2
1051	0	0	YP
1051	1	1	YM
1052	0	0	CLOCKWISE
1052	1	1	CCLOCKWISE
1053	0	0	LEVEL0
1053	1	1	LEVEL1
1053	2	2	LEVEL2
1053	3	3	LEVEL3
1053	4	4	LEVEL4
1053	5	5	LEVEL5
1053	6	6	LEVEL6
1053	7	7	LEVEL7
1054	0	0	PHOTO
1054	1	1	GEOM
1055	0	0	BURN
1055	1	1	VECTTHRUST
1056	0	0	NONE
1056	1	1	SAS_X
1056	2	2	SAS_XZ
1056	3	3	SAS_YP
1056	4	4	SAS_YM
1056	5	5	SAS_F
2262	0	0	SBM
2262	1	1	SAM
2262	2	2	SHM
2262	3	3	SKM
2262	4	4	NSH
2262	5	5	NM
2262	6	6	AFMv7orHMv8
2262	7	7	TTM
2262	8	8	OCM
2262	9	9	SPM
2263	0	0	AACADNOTCOMP
2263	1	1	AACADCOMP
2263	2	2	AT_FAD
2264	0	0	MAXSTARS
2264	1	1	LESSMAXGUIDE
2264	2	2	LESSMAXSTARS
2265	0	0	GOODQUALITY
2265	1	1	NORMNOTOK
2265	2	2	REDUCEQUALIT
2266	0	0	NOMINAL
2266	1	1	REDUNDANT
2266	2	2	NONE
2267	0	0	POWER_ON
2267	1	1	WATCHDOG
2267	2	2	EDAC
2267	3	3	TC_RESET_SW
2267	4	4	TC_RESET_HW
2267	5	5	TCRESET_WDOG
2268	0	0	PASSED
2268	1	1	FAILED
2269	0	0	INIT
2269	1	1	STAND_BY
2269	2	2	SELF_TEST
2269	3	3	POINTTRACKIN
2269	4	4	ASTERTRACKIN
2269	5	5	IMAGING
2270	0	0	FOC_NATT
2270	1	1	FOC_ATT
2270	2	2	DEFOC_NATT
2270	3	3	UNDEF_POS
2522	0	0	BLOCKED
2522	1	1	PASSING
1058	0	0	ACCELERO
1058	1	1	On Time
3145	1	1	IT3:Flt_Ovrf
3145	2	2	IT4:Fxd_Ovrf
3145	3	3	IT6:Flt_Undr
2605	0	0	SBM
2605	1	1	SAM
2605	2	2	SHM
2605	3	3	SKM
2605	4	4	NSHM
2605	5	5	NM
2605	6	6	AFM
2605	7	7	TTM
2605	8	8	OCM
2605	9	9	SPM
2615	0	0	No Phase
2615	1	1	Rate Reductn
2615	10	10	Erth Pnt Ini
2615	11	11	Erth Pnt Stb
2615	12	12	MGA STRB-SAR
2615	13	13	MGA STRB-ESM
2615	14	14	MGA STRB-EAH
2615	15	15	Wheel Dampng
2615	16	16	Grd Com Slew
2615	17	17	GSEP
2615	18	18	GLEP
2615	19	19	FPAP
2615	2	2	Sun Capture
2615	20	20	FPSP
2615	21	21	Stap-Converg
2615	22	22	Stap-STR Ini
2615	23	23	Stap-EST Ini
2615	24	24	Stap-Test Co
2615	3	3	Sun Acq
2615	4	4	Sun Pointing
2615	5	5	Bias Point
2615	6	6	Star Acq
2615	7	7	Rotation
2615	8	8	Stabilize
2615	9	9	Hold
2616	0	0	0_SUN_P
2616	1	1	1_LIN
2616	10	10	10_TTM_ATT
2616	11	11	11_TTM_OVR
2616	12	12	12_TTM_TRQ
2616	13	13	13_TTM_TOUT
2616	14	14	14_SPM_OVR
2616	15	15	15_SPM_TRQ
2616	16	16	16_SPM_SPIN
2616	17	17	17_SPM_TOUT
2616	18	18	18_OCM_ACC
2616	19	19	19_OCM_TRAC
2616	2	2	2_LRG
2616	20	20	20_OCM_ATT
2616	21	21	21_OCM_OVR
2616	22	22	22_OCM_TRQ
2616	23	23	23_OCM_TO
2616	24	24	24_AFM_F2
2616	25	25	25_AFM_ATT
2616	26	26	26_AFM_OVR
2616	27	27	27_NSH_ATT
2616	28	28	28_NSH_TRQ
2616	29	29	29_NSH_TON
2616	3	3	3_SHM_ATT
2616	30	30	30_SAM_F3
2616	31	31	31_SAM_OVR
2616	32	32	32_SAM_TRQ
2616	33	33	33_SAM_TOUT
2616	34	34	34_SAMG_TOUT
2616	35	35	35_SKM_F4
2616	36	36	36_SKM_OVR
2616	37	37	37_SKM_TRQ
2616	38	38	38_SKM_TOUT
2616	39	39	39_WOL_TOUT
2616	4	4	4_SHM_OVR
2616	40	40	40_STL_CONS
2616	41	41	41_AFM_GD_IN
2616	42	42	42_IMP_CONS
2616	43	43	43_IMP_A_STA
2616	44	44	44_IMP_B_STA
2616	45	45	45_IMP_C_STA
2616	46	46	46_ACM_A_LCV
2616	47	47	47_ACM_A_VLT
2616	48	48	48_ACM_B_LCV
2616	49	49	49_ACM_B_VLT
2616	5	5	5_SHM_TRQ
2616	50	50	50_STR_A_OPE
2616	51	51	51_STR_A_MOD
2616	52	52	52_STR_A_EV
2616	53	53	53_STR_B_OPE
2616	54	54	54_STR_B_MOD
2616	55	55	55_STR_B_EV
2616	56	56	56_CAM_A_OPE
2616	57	57	57_CAM_A_MOD
2616	58	58	58_CAM_A_EV
2616	59	59	59_CAM_B_OPE
2616	6	6	6_SHM_TOUT
2616	60	60	60_CAM_B_MOD
2616	61	61	61_CAM_B_EV
2616	62	62	62_RWA_A_FAI
2616	63	63	63_RWA_A_FRC
2616	64	64	64_RWA_A_SPD
2616	65	65	65_RWA_B_FAI
2616	66	66	66_RWA_B_FRC
2616	67	67	67_RWA_B_SPD
2616	68	68	68_RWA_C_FAI
2616	69	69	69_RWA_C_FRC
2616	7	7	7_NM_F2
2616	70	70	70_RWA_C_SPD
2616	71	71	71_RWA_D_FAI
2616	72	72	72_RWA_D_FRC
2616	73	73	73_RWA_D_SPD
2616	74	74	74_SAD_A_TMP
2616	75	75	75_SAD_B_TMP
2616	76	76	76_SADE_SAP
2616	77	77	77_SADE_SAM
2616	78	78	78_APM_TEMP
2616	79	79	79_APM_A_TMP
2616	8	8	8_NM_ATT
2616	80	80	80_APM_A_EL
2616	81	81	81_APM_A_AZ
2616	82	82	82_APM_B_TMP
2616	83	83	83_APM_B_EL
2616	84	84	84_APM_B_AZ
2616	85	85	85_STR_TRACK
2616	86	86	86_AIU_TEMP
2616	87	87	87_SKM_F2
2616	88	88	88_STR_SYNC
2616	89	89	89_GLEP_TRK
2616	9	9	9_NM_OVR
